"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
                    Жинст,"2,084.","2,122.","2,143.","2,189.","2,192.","2,211."
"                            1-р баг, Уу-булан",329.,331.,320.,307.,313.,322.
"                            2-р баг, Хүйс",498.,520.,530.,523.,528.,538.
"                            3-р баг, Хөнөг",498.,501.,515.,542.,547.,551.
"                            4-р баг, Цагаан ус",338.,340.,334.,372.,372.,377.
"                            5-р баг, Бодь",421.,430.,444.,445.,432.,423.
                    Заг,"2,003.","2,014.","2,036.","2,093.","2,073.","2,066."
"                            1-р баг, Баянбулаг",410.,412.,420.,427.,417.,428.
"                            2-р баг, Баян-Улаан",513.,525.,532.,542.,559.,552.
"                            3-р баг, Чандмань-Овоо",491.,490.,498.,495.,496.,502.
"                            4-р баг, Залаа-Овоо",589.,587.,586.,629.,601.,584.
                    Өлзийт,"3,594.","3,661.","3,733.","3,804.","3,870.","3,795."
"                            1-р баг, Бурхант",581.,606.,619.,622.,636.,618.
"                            2-р баг, Байн ам",748.,768.,781.,807.,810.,814.
"                            3-р баг, Ёлын ам",446.,424.,414.,442.,459.,464.
"                            4-р баг, Худаг урт",621.,631.,630.,606.,604.,603.
"                            5-р баг, Бийрийн уулзвар",607.,618.,635.,644.,655.,636.
"                            6-р баг, Улаан уул",591.,614.,654.,683.,706.,660.
                    Хүрээмарал,"1,729.","1,705.","1,758.","1,756.","1,748.","1,749."
"                            1-р баг, Хөх бүрд",371.,377.,378.,375.,365.,373.
"                            2-р баг, Сонор",317.,300.,322.,327.,338.,321.
"                            3-р баг, Норовлин",401.,402.,404.,404.,411.,417.
"                            4-р баг, Цорж",412.,407.,413.,414.,395.,392.
"                            5-р баг, Дэлгэр мөрөн",228.,219.,241.,236.,239.,246.
                    Шинэжинст,"2,287.","2,317.","2,386.","2,450.","2,449.","2,469."
"                            1-р баг, Зараа",454.,456.,473.,480.,491.,494.
"                            2-р баг, Уртын гол",830.,842.,871.,891.,900.,911.
"                            3-р баг, Эрдэнэшанд",723.,727.,743.,767.,767.,763.
"                            4-р баг, Эхэн хавцгай",280.,292.,299.,312.,291.,301.
                    Эрдэнэцогт,"4,168.","4,129.","4,105.","4,209.","4,239.","4,254."
"                            1-р баг, Сэнжит",691.,690.,668.,709.,731.,723.
"                            2-р баг, Ямаат",783.,762.,735.,740.,739.,739.
"                            3-р баг, Өвгөнжаргалант",629.,615.,654.,651.,658.,642.
"                            4-р баг, Жанжин",670.,659.,641.,672.,653.,671.
"                            5-р баг, Эрхэт хайрхан",458.,486.,487.,505.,564.,605.
"                            6-р баг, Цагаан дэнж",937.,917.,920.,932.,894.,874.
            Архангай,"92,896.","91,760.","93,509.","94,923.","95,994.","94,324."
                Эрдэнэбулган,"20,889.","21,211.","21,499.","21,620.","22,138.","21,517."
"                        1-р баг, Цагаан даваа","4,967.","4,667.","4,667.","4,609.","4,644.","4,454."
"                        2-р баг, Арслан цохио","3,792.","3,673.","3,789.","3,857.","4,028.","3,858."
"                        3-р баг, Цагдуулт","3,750.","3,472.","3,543.","3,556.","3,614.","3,546."
"                        4-р баг, Бор толгой","5,301.","4,339.","4,345.","4,235.","4,117.","3,897."
"                        5-р баг, Наранбулаг","2,206.","2,484.","2,494.","2,527.","2,584.","2,547."
"                        6-р баг, Цагаан дэл",873.,775.,763.,817.,880.,869.
"                        7-р баг, Тамир",,"1,801.","1,898.","2,019.","2,271.","2,346."
                Батцэнгэл,"3,687.","3,600.","3,696.","3,784.","3,803.","3,759."
"                        1-р баг, Улаанчулуу",453.,447.,470.,496.,509.,508.
"                        2-р баг, Хөнөг",454.,456.,476.,488.,488.,493.
"                        3-р баг, Дэл",476.,475.,486.,502.,507.,517.
"                        4-р баг, Баян-Уул",561.,535.,543.,551.,558.,549.
"                        5-р баг, Цац",772.,766.,752.,756.,761.,766.
"                        6-р баг, Дайрбор",971.,921.,969.,991.,980.,926.
                Булган,"2,508.","2,465.","2,622.","2,713.","2,757.","2,719."
"                        1-р баг, Тусгалт",659.,628.,665.,710.,725.,739.
"                        2-р баг, Зуунмод","1,038.","1,038.","1,080.","1,086.","1,078.","1,057."
"                        3-р баг, Тамир",473.,474.,501.,497.,519.,504.
"                        4-р баг, Баянбулаг",338.,325.,376.,420.,435.,419.
                Жаргалант,"4,447.","4,335.","4,413.","4,454.","4,465.","4,383."
"                        1-р баг, Асайт","1,198.","1,152.","1,136.","1,148.","1,144.","1,116."
"                        2-р баг, Хоолт",701.,703.,697.,709.,716.,714.
"                        3-р баг, Эрдэнэ-Уул",532.,507.,515.,530.,535.,524.
"                        4-р баг, Зуслан",733.,728.,756.,754.,750.,749.
"                        5-р баг, Баянцагаан","1,283.","1,245.","1,309.","1,313.","1,320.","1,280."
                    Их тамир,"5,535.","5,325.","5,459.","5,626.","5,631.","5,517."
"                            1-р баг, Хөхнуур",640.,631.,657.,671.,673.,676.
"                            2-р баг, Хан-Өндөр",857.,814.,839.,859.,853.,843.
"                            3-р баг, Борт",814.,815.,821.,846.,853.,836.
"                            4-р баг, Бугат",930.,922.,932.,991.,997.,984.
"                            5-р баг, Тайхар","1,021.",992.,"1,037.","1,051.","1,049.","1,122."
"                            6-р баг, Эрдэнэтолгой","1,273.","1,151.","1,173.","1,208.","1,206.","1,056."
                    Өгийнуур,"3,073.","3,011.","3,131.","3,185.","3,213.","3,099."
"                            1-р баг, Тоглох",618.,593.,644.,645.,630.,723.
"                            2-р баг, Дойт",695.,677.,714.,730.,732.,639.
"                            3-р баг, Өгий",539.,542.,541.,560.,569.,527.
"                            4-р баг, Орхон",603.,585.,584.,599.,618.,650.
"                            5-р баг, Зэгстэй",618.,614.,648.,651.,664.,560.
                    Өлзийт,"3,333.","3,301.","3,347.","3,383.","3,454.","3,414."
"                            1-р баг, Ямаат",904.,909.,917.,933.,962.,944.
"                            2-р баг, Бодонт",843.,847.,866.,867.,888.,877.
"                            3-р баг, Байшир",735.,729.,736.,748.,771.,785.
"                            4-р баг, Хөшөөт",851.,816.,828.,835.,833.,808.
                    Өндөр-Улаан,"5,839.","5,652.","5,723.","5,788.","5,811.","5,732."
"                            1-р баг, Азарга","1,412.","1,374.","1,376.","1,388.","1,416.","1,427."
"                            2-р баг, Хануй","1,220.","1,210.","1,226.","1,232.","1,220.","1,228."
"                            3-р баг, Донгой",794.,757.,763.,792.,808.,793.
"                            4-р баг, Бэлхи","1,213.","1,183.","1,209.","1,212.","1,215.","1,194."
"                            5-р баг, Тээл","1,200.","1,128.","1,149.","1,164.","1,152.","1,090."
                    Тариат,"4,755.","4,660.","4,761.","4,839.","4,981.","4,900."
"                            1-р баг, Тэрх",711.,687.,686.,706.,731.,734.
"                            2-р баг, Цагааннуур",767.,730.,743.,763.,777.,749.
"                            3-р баг, Хорго",873.,875.,914.,930.,951.,924.
"                            4-р баг, Суман",587.,558.,560.,581.,597.,581.
"                            5-р баг, Бөөрөлжүүт",506.,516.,532.,521.,547.,543.
"                            6-р баг, Мөрөн",806.,790.,822.,826.,868.,865.
"                            7-р баг, Алтайд",505.,504.,504.,512.,510.,504.
                    Төвшрүүлэх,"3,021.","2,975.","3,007.","3,090.","3,042.","2,904."
"                            1-р баг, Хөх сүм",704.,686.,680.,704.,700.,679.
"                            2-р баг, Баян-Өндөр",698.,679.,702.,729.,725.,715.
"                            3-р баг, Урантолгой",873.,847.,869.,876.,836.,780.
"                            4-р баг, Өртөнт",762.,763.,756.,781.,781.,730.
                    Хайрхан,849.,"3,701.","3,755.","3,778.","3,829.","3,712."
"                            1-р баг, Хайрхан",695.,680.,702.,703.,705.,696.
"                            2-р баг, Асгат",781.,790.,796.,795.,815.,822.
"                            3-р баг, Жарантай",765.,757.,781.,767.,768.,737.
"                            4-р баг, Могой",682.,662.,675.,687.,715.,713.
"                            5-р баг, Өгөөмөр",849.,812.,801.,826.,826.,744.
                    Хангай,"3,140.","3,113.","3,126.","3,180.","3,206.","3,195."
"                            1-р баг, Чандмань",478.,501.,498.,506.,500.,496.
"                            2-р баг, Гичгэнэ",316.,302.,298.,306.,313.,310.
"                            3-р баг, Арбаясгалан",478.,479.,475.,473.,496.,521.
"                            4-р баг, Баян-Улаан",451.,442.,447.,460.,465.,464.
"                            5-р баг, Тэрх",592.,603.,596.,621.,631.,627.
"                            6-р баг, Ноён хангай",825.,786.,812.,814.,801.,777.
                    Хашаат,"3,263.","3,171.","3,213.","3,232.","3,261.","3,190."
